instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp
1,01-01-2011,1,0,1,0,FALSE,6,1,0.24
2,01-01-2011,1,0,1,1,FALSE,6,1,0.22
3,01-01-2011,1,0,1,2,FALSE,6,1,0.22
4,01-01-2011,1,0,1,3,FALSE,6,1,0.24
5,01-01-2011,1,0,1,4,FALSE,6,1,0.24
6,01-01-2011,1,0,1,5,FALSE,6,2,0.24
7,01-01-2011,1,0,1,6,FALSE,6,1,0.22
8,01-01-2011,1,0,1,7,FALSE,6,1,0.2
9,01-01-2011,1,0,1,8,FALSE,6,1,0.24
10,01-01-2011,1,0,1,9,FALSE,6,1,0.32
11,01-01-2011,1,0,1,10,FALSE,6,1,0.38
12,01-01-2011,1,0,1,11,FALSE,6,1,0.36
13,01-01-2011,1,0,1,12,FALSE,6,1,0.42
14,01-01-2011,1,0,1,13,FALSE,6,2,0.46
15,01-01-2011,1,0,1,14,FALSE,6,2,0.46
16,01-01-2011,1,0,1,15,FALSE,6,2,0.44
17,01-01-2011,1,0,1,16,FALSE,6,2,0.42
18,01-01-2011,1,0,1,17,FALSE,6,2,0.44
19,01-01-2011,1,0,1,18,FALSE,6,3,0.42
20,01-01-2011,1,0,1,19,FALSE,6,3,0.42
21,01-01-2011,1,0,1,20,FALSE,6,2,0.4
22,01-01-2011,1,0,1,21,FALSE,6,2,0.4
23,01-01-2011,1,0,1,22,FALSE,6,2,0.4
24,01-01-2011,1,0,1,23,FALSE,6,2,0.46
25,02-01-2011,1,0,1,0,FALSE,0,2,0.46
26,02-01-2011,1,0,1,1,FALSE,0,2,0.44
27,02-01-2011,1,0,1,2,FALSE,0,2,0.42
28,02-01-2011,1,0,1,3,FALSE,0,2,0.46
29,02-01-2011,1,0,1,4,FALSE,0,2,0.46
30,02-01-2011,1,0,1,6,FALSE,0,3,0.42
31,02-01-2011,1,0,1,7,FALSE,0,2,0.4
32,02-01-2011,1,0,1,8,FALSE,0,3,0.4
33,02-01-2011,1,0,1,9,FALSE,0,2,0.38
34,02-01-2011,1,0,1,10,FALSE,0,2,0.36
35,02-01-2011,1,0,1,11,FALSE,0,2,0.36
36,02-01-2011,1,0,1,12,FALSE,0,2,0.36
37,02-01-2011,1,0,1,13,FALSE,0,2,0.36
38,02-01-2011,1,0,1,14,FALSE,0,3,0.36
39,02-01-2011,1,0,1,15,FALSE,0,3,0.34
40,02-01-2011,1,0,1,16,FALSE,0,3,0.34
41,02-01-2011,1,0,1,17,FALSE,0,1,0.34
42,02-01-2011,1,0,1,18,FALSE,0,2,0.36
43,02-01-2011,1,0,1,19,FALSE,0,1,0.32
44,02-01-2011,1,0,1,20,FALSE,0,1,0.3
45,02-01-2011,1,0,1,21,FALSE,0,1,0.26
46,02-01-2011,1,0,1,22,FALSE,0,1,0.24
47,02-01-2011,1,0,1,23,FALSE,0,1,0.22
48,03-01-2011,1,0,1,0,FALSE,1,1,0.22
49,03-01-2011,1,0,1,1,FALSE,1,1,0.2
50,03-01-2011,1,0,1,4,FALSE,1,1,0.16
51,03-01-2011,1,0,1,5,FALSE,1,1,0.16
52,03-01-2011,1,0,1,6,FALSE,1,1,0.14
53,03-01-2011,1,0,1,7,FALSE,1,1,0.14
54,03-01-2011,1,0,1,8,FALSE,1,1,0.14
55,03-01-2011,1,0,1,9,FALSE,1,1,0.16
56,03-01-2011,1,0,1,10,FALSE,1,1,0.18
57,03-01-2011,1,0,1,11,FALSE,1,1,0.2
58,03-01-2011,1,0,1,12,FALSE,1,1,0.22
59,03-01-2011,1,0,1,13,FALSE,1,1,0.24
60,03-01-2011,1,0,1,14,FALSE,1,1,0.26
61,03-01-2011,1,0,1,15,FALSE,1,1,0.26
62,03-01-2011,1,0,1,16,FALSE,1,1,0.26
63,03-01-2011,1,0,1,17,FALSE,1,1,0.24
64,03-01-2011,1,0,1,18,FALSE,1,1,0.24
65,03-01-2011,1,0,1,19,FALSE,1,1,0.2
66,03-01-2011,1,0,1,20,FALSE,1,1,0.2
67,03-01-2011,1,0,1,21,FALSE,1,1,0.18
68,03-01-2011,1,0,1,22,FALSE,1,1,0.14
69,03-01-2011,1,0,1,23,FALSE,1,1,0.18
70,04-01-2011,1,0,1,0,FALSE,2,1,0.16
71,04-01-2011,1,0,1,1,FALSE,2,1,0.16
72,04-01-2011,1,0,1,2,FALSE,2,1,0.14
73,04-01-2011,1,0,1,4,FALSE,2,1,0.14
74,04-01-2011,1,0,1,5,FALSE,2,1,0.12
75,04-01-2011,1,0,1,6,FALSE,2,1,0.12
76,04-01-2011,1,0,1,7,FALSE,2,1,0.12
77,04-01-2011,1,0,1,8,FALSE,2,1,0.14
78,04-01-2011,1,0,1,9,FALSE,2,1,0.16
79,04-01-2011,1,0,1,10,FALSE,2,2,0.16
80,04-01-2011,1,0,1,11,FALSE,2,1,0.22
81,04-01-2011,1,0,1,12,FALSE,2,1,0.22
82,04-01-2011,1,0,1,13,FALSE,2,1,0.24
83,04-01-2011,1,0,1,14,FALSE,2,1,0.26
84,04-01-2011,1,0,1,15,FALSE,2,1,0.28
85,04-01-2011,1,0,1,16,FALSE,2,1,0.3
86,04-01-2011,1,0,1,17,FALSE,2,1,0.28
87,04-01-2011,1,0,1,18,FALSE,2,1,0.26
88,04-01-2011,1,0,1,19,FALSE,2,1,0.24
89,04-01-2011,1,0,1,20,FALSE,2,1,0.24
90,04-01-2011,1,0,1,21,FALSE,2,1,0.22
91,04-01-2011,1,0,1,22,FALSE,2,1,0.22
92,04-01-2011,1,0,1,23,FALSE,2,1,0.2
93,05-01-2011,1,0,1,0,FALSE,3,1,0.2
94,05-01-2011,1,0,1,1,FALSE,3,1,0.16
95,05-01-2011,1,0,1,2,FALSE,3,1,0.16
96,05-01-2011,1,0,1,4,FALSE,3,1,0.24
97,05-01-2011,1,0,1,5,FALSE,3,1,0.22
98,05-01-2011,1,0,1,6,FALSE,3,1,0.2
99,05-01-2011,1,0,1,7,FALSE,3,1,0.18
100,05-01-2011,1,0,1,8,FALSE,3,1,0.2
101,05-01-2011,1,0,1,9,FALSE,3,1,0.22
102,05-01-2011,1,0,1,10,FALSE,3,1,0.22
103,05-01-2011,1,0,1,11,FALSE,3,1,0.26
104,05-01-2011,1,0,1,12,FALSE,3,1,0.26
105,05-01-2011,1,0,1,13,FALSE,3,1,0.28
106,05-01-2011,1,0,1,14,FALSE,3,1,0.3
107,05-01-2011,1,0,1,15,FALSE,3,1,0.3
108,05-01-2011,1,0,1,16,FALSE,3,1,0.3
109,05-01-2011,1,0,1,17,FALSE,3,1,0.24
110,05-01-2011,1,0,1,18,FALSE,3,1,0.24
111,05-01-2011,1,0,1,19,FALSE,3,1,0.24
112,05-01-2011,1,0,1,20,FALSE,3,1,0.22
113,05-01-2011,1,0,1,21,FALSE,3,1,0.2
114,05-01-2011,1,0,1,22,FALSE,3,1,0.18
115,05-01-2011,1,0,1,23,FALSE,3,1,0.2
116,06-01-2011,1,0,1,0,FALSE,4,1,0.18
117,06-01-2011,1,0,1,1,FALSE,4,1,0.16
118,06-01-2011,1,0,1,2,FALSE,4,1,0.16
119,06-01-2011,1,0,1,4,FALSE,4,2,0.16
120,06-01-2011,1,0,1,5,FALSE,4,2,0.14
121,06-01-2011,1,0,1,6,FALSE,4,2,0.14
122,06-01-2011,1,0,1,7,FALSE,4,2,0.16
123,06-01-2011,1,0,1,8,FALSE,4,1,0.16
124,06-01-2011,1,0,1,9,FALSE,4,2,0.18
125,06-01-2011,1,0,1,10,FALSE,4,1,0.2
126,06-01-2011,1,0,1,11,FALSE,4,1,0.22
127,06-01-2011,1,0,1,12,FALSE,4,1,0.26
128,06-01-2011,1,0,1,13,FALSE,4,1,0.26
129,06-01-2011,1,0,1,14,FALSE,4,1,0.28
130,06-01-2011,1,0,1,15,FALSE,4,1,0.28
131,06-01-2011,1,0,1,16,FALSE,4,1,0.26
132,06-01-2011,1,0,1,17,FALSE,4,1,0.22
133,06-01-2011,1,0,1,18,FALSE,4,1,0.22
134,06-01-2011,1,0,1,19,FALSE,4,1,0.22
135,06-01-2011,1,0,1,20,FALSE,4,1,0.2
136,06-01-2011,1,0,1,21,FALSE,4,2,0.22
137,06-01-2011,1,0,1,22,FALSE,4,2,0.22
138,06-01-2011,1,0,1,23,FALSE,4,2,0.2
139,07-01-2011,1,0,1,0,FALSE,5,2,0.2
140,07-01-2011,1,0,1,1,FALSE,5,2,0.2
141,07-01-2011,1,0,1,2,FALSE,5,2,0.2
142,07-01-2011,1,0,1,4,FALSE,5,2,0.2
143,07-01-2011,1,0,1,5,FALSE,5,3,0.22
144,07-01-2011,1,0,1,6,FALSE,5,2,0.2
145,07-01-2011,1,0,1,7,FALSE,5,1,0.2
146,07-01-2011,1,0,1,8,FALSE,5,1,0.2
147,07-01-2011,1,0,1,9,FALSE,5,1,0.2
148,07-01-2011,1,0,1,10,FALSE,5,1,0.22
149,07-01-2011,1,0,1,11,FALSE,5,2,0.2
150,07-01-2011,1,0,1,12,FALSE,5,2,0.2
151,07-01-2011,1,0,1,13,FALSE,5,2,0.2
152,07-01-2011,1,0,1,14,FALSE,5,2,0.2
153,07-01-2011,1,0,1,15,FALSE,5,2,0.2
154,07-01-2011,1,0,1,16,FALSE,5,2,0.2
155,07-01-2011,1,0,1,17,FALSE,5,2,0.2
156,07-01-2011,1,0,1,18,FALSE,5,1,0.2
157,07-01-2011,1,0,1,19,FALSE,5,1,0.16
158,07-01-2011,1,0,1,20,FALSE,5,1,0.18
159,07-01-2011,1,0,1,21,FALSE,5,1,0.18
160,07-01-2011,1,0,1,22,FALSE,5,2,0.18
161,07-01-2011,1,0,1,23,FALSE,5,2,0.18
162,08-01-2011,1,0,1,0,FALSE,6,2,0.18
163,08-01-2011,1,0,1,1,FALSE,6,2,0.18
164,08-01-2011,1,0,1,2,FALSE,6,2,0.18
165,08-01-2011,1,0,1,3,FALSE,6,3,0.18
166,08-01-2011,1,0,1,4,FALSE,6,3,0.18
167,08-01-2011,1,0,1,5,FALSE,6,2,0.16
168,08-01-2011,1,0,1,6,FALSE,6,2,0.16
169,08-01-2011,1,0,1,7,FALSE,6,2,0.16
170,08-01-2011,1,0,1,8,FALSE,6,3,0.16
171,08-01-2011,1,0,1,9,FALSE,6,3,0.16
172,08-01-2011,1,0,1,10,FALSE,6,2,0.18
173,08-01-2011,1,0,1,11,FALSE,6,2,0.2
174,08-01-2011,1,0,1,12,FALSE,6,2,0.2
175,08-01-2011,1,0,1,13,FALSE,6,1,0.2
176,08-01-2011,1,0,1,14,FALSE,6,1,0.2
177,08-01-2011,1,0,1,15,FALSE,6,1,0.2
178,08-01-2011,1,0,1,16,FALSE,6,1,0.18
179,08-01-2011,1,0,1,17,FALSE,6,1,0.16
180,08-01-2011,1,0,1,18,FALSE,6,1,0.14
181,08-01-2011,1,0,1,19,FALSE,6,1,0.14
182,08-01-2011,1,0,1,20,FALSE,6,1,0.12
183,08-01-2011,1,0,1,21,FALSE,6,1,0.12
184,08-01-2011,1,0,1,22,FALSE,6,1,0.12
185,08-01-2011,1,0,1,23,FALSE,6,1,0.1
186,09-01-2011,1,0,1,0,FALSE,0,1,0.1
187,09-01-2011,1,0,1,1,FALSE,0,1,0.1
188,09-01-2011,1,0,1,2,FALSE,0,1,0.1
189,09-01-2011,1,0,1,3,FALSE,0,1,0.1
190,09-01-2011,1,0,1,4,FALSE,0,1,0.08
191,09-01-2011,1,0,1,5,FALSE,0,1,0.08
192,09-01-2011,1,0,1,6,FALSE,0,1,0.1
193,09-01-2011,1,0,1,7,FALSE,0,1,0.08
194,09-01-2011,1,0,1,8,FALSE,0,1,0.1
195,09-01-2011,1,0,1,9,FALSE,0,1,0.12
196,09-01-2011,1,0,1,10,FALSE,0,1,0.14
197,09-01-2011,1,0,1,11,FALSE,0,1,0.16
198,09-01-2011,1,0,1,12,FALSE,0,1,0.18
199,09-01-2011,1,0,1,13,FALSE,0,1,0.2
200,09-01-2011,1,0,1,14,FALSE,0,1,0.22
201,09-01-2011,1,0,1,15,FALSE,0,1,0.22
202,09-01-2011,1,0,1,16,FALSE,0,1,0.2
203,09-01-2011,1,0,1,17,FALSE,0,1,0.18
204,09-01-2011,1,0,1,18,FALSE,0,1,0.16
205,09-01-2011,1,0,1,19,FALSE,0,1,0.16
206,09-01-2011,1,0,1,20,FALSE,0,1,0.14
207,09-01-2011,1,0,1,21,FALSE,0,1,0.14
208,09-01-2011,1,0,1,22,FALSE,0,1,0.14
209,09-01-2011,1,0,1,23,FALSE,0,1,0.12
210,10-01-2011,1,0,1,0,FALSE,1,1,0.12
211,10-01-2011,1,0,1,1,FALSE,1,1,0.12
212,10-01-2011,1,0,1,2,FALSE,1,1,0.12
213,10-01-2011,1,0,1,3,FALSE,1,1,0.12
214,10-01-2011,1,0,1,4,FALSE,1,1,0.1
215,10-01-2011,1,0,1,5,FALSE,1,1,0.1
216,10-01-2011,1,0,1,6,FALSE,1,1,0.12
217,10-01-2011,1,0,1,7,FALSE,1,1,0.12
218,10-01-2011,1,0,1,8,FALSE,1,2,0.12
219,10-01-2011,1,0,1,9,FALSE,1,2,0.14
220,10-01-2011,1,0,1,10,FALSE,1,2,0.14
221,10-01-2011,1,0,1,11,FALSE,1,2,0.16
222,10-01-2011,1,0,1,12,FALSE,1,2,0.2
223,10-01-2011,1,0,1,13,FALSE,1,2,0.2
224,10-01-2011,1,0,1,14,FALSE,1,2,0.2
225,10-01-2011,1,0,1,15,FALSE,1,2,0.2
226,10-01-2011,1,0,1,16,FALSE,1,1,0.2
227,10-01-2011,1,0,1,17,FALSE,1,1,0.2
228,10-01-2011,1,0,1,18,FALSE,1,1,0.2
229,10-01-2011,1,0,1,19,FALSE,1,1,0.16
230,10-01-2011,1,0,1,20,FALSE,1,1,0.16
231,10-01-2011,1,0,1,21,FALSE,1,1,0.14
232,10-01-2011,1,0,1,22,FALSE,1,1,0.14
233,10-01-2011,1,0,1,23,FALSE,1,1,0.14
234,11-01-2011,1,0,1,0,FALSE,2,1,0.14
235,11-01-2011,1,0,1,1,FALSE,2,1,0.14
236,11-01-2011,1,0,1,2,FALSE,2,2,0.16
237,11-01-2011,1,0,1,5,FALSE,2,2,0.16
238,11-01-2011,1,0,1,6,FALSE,2,2,0.16
239,11-01-2011,1,0,1,7,FALSE,2,2,0.16
240,11-01-2011,1,0,1,8,FALSE,2,2,0.18
241,11-01-2011,1,0,1,9,FALSE,2,2,0.18
242,11-01-2011,1,0,1,10,FALSE,2,2,0.2
243,11-01-2011,1,0,1,11,FALSE,2,2,0.2
244,11-01-2011,1,0,1,12,FALSE,2,2,0.2
245,11-01-2011,1,0,1,13,FALSE,2,2,0.2
246,11-01-2011,1,0,1,14,FALSE,2,2,0.2
247,11-01-2011,1,0,1,15,FALSE,2,2,0.16
248,11-01-2011,1,0,1,16,FALSE,2,2,0.16
249,11-01-2011,1,0,1,17,FALSE,2,2,0.16
250,11-01-2011,1,0,1,18,FALSE,2,3,0.16
251,11-01-2011,1,0,1,19,FALSE,2,3,0.16
252,11-01-2011,1,0,1,20,FALSE,2,3,0.16
253,11-01-2011,1,0,1,21,FALSE,2,3,0.16
254,11-01-2011,1,0,1,22,FALSE,2,3,0.16
255,11-01-2011,1,0,1,23,FALSE,2,3,0.16
256,12-01-2011,1,0,1,0,FALSE,3,2,0.16
257,12-01-2011,1,0,1,1,FALSE,3,2,0.16
258,12-01-2011,1,0,1,2,FALSE,3,1,0.14
259,12-01-2011,1,0,1,5,FALSE,3,1,0.14
260,12-01-2011,1,0,1,6,FALSE,3,1,0.12
261,12-01-2011,1,0,1,7,FALSE,3,1,0.14
262,12-01-2011,1,0,1,8,FALSE,3,1,0.16
263,12-01-2011,1,0,1,9,FALSE,3,1,0.16
264,12-01-2011,1,0,1,10,FALSE,3,1,0.18
265,12-01-2011,1,0,1,11,FALSE,3,1,0.2
266,12-01-2011,1,0,1,12,FALSE,3,1,0.2
267,12-01-2011,1,0,1,13,FALSE,3,1,0.22
268,12-01-2011,1,0,1,14,FALSE,3,1,0.2
269,12-01-2011,1,0,1,15,FALSE,3,1,0.2
270,12-01-2011,1,0,1,16,FALSE,3,1,0.22
271,12-01-2011,1,0,1,17,FALSE,3,1,0.2
272,12-01-2011,1,0,1,18,FALSE,3,1,0.2
273,12-01-2011,1,0,1,19,FALSE,3,1,0.18
274,12-01-2011,1,0,1,20,FALSE,3,1,0.16
275,12-01-2011,1,0,1,21,FALSE,3,1,0.16
276,12-01-2011,1,0,1,22,FALSE,3,1,0.16
277,12-01-2011,1,0,1,23,FALSE,3,1,0.14
278,13-01-2011,1,0,1,0,FALSE,4,1,0.14
279,13-01-2011,1,0,1,1,FALSE,4,1,0.14
280,13-01-2011,1,0,1,2,FALSE,4,1,0.14
281,13-01-2011,1,0,1,3,FALSE,4,1,0.14
282,13-01-2011,1,0,1,4,FALSE,4,1,0.14
283,13-01-2011,1,0,1,5,FALSE,4,1,0.14
284,13-01-2011,1,0,1,6,FALSE,4,1,0.12
285,13-01-2011,1,0,1,7,FALSE,4,1,0.12
286,13-01-2011,1,0,1,8,FALSE,4,1,0.14
287,13-01-2011,1,0,1,9,FALSE,4,1,0.14
288,13-01-2011,1,0,1,10,FALSE,4,2,0.16
289,13-01-2011,1,0,1,11,FALSE,4,2,0.2
290,13-01-2011,1,0,1,12,FALSE,4,1,0.2
291,13-01-2011,1,0,1,13,FALSE,4,1,0.22
292,13-01-2011,1,0,1,14,FALSE,4,1,0.22
293,13-01-2011,1,0,1,15,FALSE,4,1,0.24
294,13-01-2011,1,0,1,16,FALSE,4,1,0.24
295,13-01-2011,1,0,1,17,FALSE,4,1,0.2
296,13-01-2011,1,0,1,18,FALSE,4,1,0.2
297,13-01-2011,1,0,1,19,FALSE,4,1,0.16
298,13-01-2011,1,0,1,20,FALSE,4,1,0.16
299,13-01-2011,1,0,1,21,FALSE,4,1,0.14
300,13-01-2011,1,0,1,22,FALSE,4,1,0.14
301,13-01-2011,1,0,1,23,FALSE,4,1,0.12
302,14-01-2011,1,0,1,0,FALSE,5,1,0.12
303,14-01-2011,1,0,1,1,FALSE,5,1,0.1
304,14-01-2011,1,0,1,2,FALSE,5,1,0.1
305,14-01-2011,1,0,1,3,FALSE,5,1,0.1
