instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
814,06-02-2011,1,0,2,8,FALSE,0,1,0.24,0.2576,0.65,0.1045,2,21,23
815,06-02-2011,1,0,2,9,FALSE,0,1,0.28,0.2879,0.56,0.1045,7,38,45
816,06-02-2011,1,0,2,10,FALSE,0,1,0.3,0.2879,0.52,0.2537,15,74,89
817,06-02-2011,1,0,2,11,FALSE,0,1,0.32,0.303,0.49,0.2537,28,89,117
818,06-02-2011,1,0,2,12,FALSE,0,1,0.34,0.3333,0.46,0,48,126,174
819,06-02-2011,1,0,2,13,FALSE,0,1,0.34,0.3636,0.46,0,47,135,182
820,06-02-2011,1,0,2,14,FALSE,0,1,0.34,0.3485,0.46,0.0896,47,114,161
821,06-02-2011,1,0,2,15,FALSE,0,1,0.34,0.3485,0.46,0.0896,52,130,182
822,06-02-2011,1,0,2,16,FALSE,0,1,0.34,0.3485,0.49,0.1045,42,115,157
823,06-02-2011,1,0,2,17,FALSE,0,1,0.34,0.3636,0.46,0,24,97,121
824,06-02-2011,1,0,2,18,FALSE,0,1,0.3,0.303,0.56,0.1642,13,65,78
825,06-02-2011,1,0,2,19,FALSE,0,1,0.28,0.2879,0.61,0.1343,1,20,21
826,06-02-2011,1,0,2,20,FALSE,0,1,0.28,0.2879,0.61,0.1045,5,21,26
827,06-02-2011,1,0,2,21,FALSE,0,1,0.26,0.303,0.6,0,5,22,27
828,06-02-2011,1,0,2,22,FALSE,0,1,0.26,0.303,0.6,0,5,57,62
829,06-02-2011,1,0,2,23,FALSE,0,1,0.24,0.2879,0.65,0,4,26,30
830,07-02-2011,1,0,2,0,FALSE,1,1,0.24,0.2879,0.65,0,1,14,15
831,07-02-2011,1,0,2,1,FALSE,1,1,0.22,0.2727,0.75,0,1,4,5
832,07-02-2011,1,0,2,2,FALSE,1,1,0.2,0.2576,0.8,0,0,3,3
833,07-02-2011,1,0,2,3,FALSE,1,1,0.2,0.2576,0.86,0,0,1,1
834,07-02-2011,1,0,2,4,FALSE,1,1,0.2,0.2576,0.86,0,1,1,2
835,07-02-2011,1,0,2,5,FALSE,1,1,0.2,0.2576,0.86,0,1,9,10
836,07-02-2011,1,0,2,6,FALSE,1,1,0.18,0.2424,0.93,0,1,29,30
837,07-02-2011,1,0,2,7,FALSE,1,1,0.18,0.2424,0.86,0,6,89,95
838,07-02-2011,1,0,2,8,FALSE,1,2,0.16,0.2273,1,0,7,223,230
839,07-02-2011,1,0,2,9,FALSE,1,1,0.22,0.2727,0.8,0,3,115,118
840,07-02-2011,1,0,2,10,FALSE,1,1,0.24,0.2576,0.75,0.1045,6,49,55
841,07-02-2011,1,0,2,11,FALSE,1,1,0.3,0.3182,0.65,0.0896,11,36,47
842,07-02-2011,1,0,2,12,FALSE,1,2,0.32,0.3485,0.62,0,7,59,66
843,07-02-2011,1,0,2,13,FALSE,1,2,0.36,0.3636,0.57,0.0896,10,54,64
844,07-02-2011,1,0,2,14,FALSE,1,2,0.36,0.3636,0.57,0.0896,8,52,60
845,07-02-2011,1,0,2,15,FALSE,1,2,0.38,0.3939,0.54,0.0896,4,46,50
846,07-02-2011,1,0,2,16,FALSE,1,2,0.36,0.3485,0.57,0.1343,16,98,114
847,07-02-2011,1,0,2,17,FALSE,1,2,0.32,0.3182,0.7,0.1642,9,207,216
848,07-02-2011,1,0,2,18,FALSE,1,2,0.34,0.3333,0.66,0.1343,5,170,175
849,07-02-2011,1,0,2,19,FALSE,1,2,0.32,0.3485,0.7,0,5,123,128
850,07-02-2011,1,0,2,20,FALSE,1,2,0.32,0.3333,0.7,0.1045,6,82,88
851,07-02-2011,1,0,2,21,FALSE,1,1,0.32,0.3485,0.7,0,3,75,78
852,07-02-2011,1,0,2,22,FALSE,1,1,0.28,0.303,0.81,0.0896,3,34,37
853,07-02-2011,1,0,2,23,FALSE,1,2,0.3,0.3333,0.81,0,6,19,25
854,08-02-2011,1,0,2,0,FALSE,2,2,0.28,0.3182,0.87,0,4,6,10
855,08-02-2011,1,0,2,1,FALSE,2,2,0.28,0.3182,0.87,0,0,4,4
856,08-02-2011,1,0,2,2,FALSE,2,2,0.26,0.2727,0.93,0.1045,1,1,2
857,08-02-2011,1,0,2,3,FALSE,2,3,0.28,0.2727,0.93,0.1642,0,1,1
858,08-02-2011,1,0,2,4,FALSE,2,1,0.26,0.2576,0.93,0.1642,0,3,3
859,08-02-2011,1,0,2,5,FALSE,2,1,0.26,0.2273,0.81,0.3284,0,2,2
860,08-02-2011,1,0,2,6,FALSE,2,1,0.26,0.2273,0.7,0.3284,0,39,39
861,08-02-2011,1,0,2,7,FALSE,2,1,0.24,0.197,0.65,0.4179,3,97,100
862,08-02-2011,1,0,2,8,FALSE,2,1,0.24,0.197,0.56,0.4925,7,236,243
863,08-02-2011,1,0,2,9,FALSE,2,1,0.24,0.197,0.52,0.4925,7,128,135
864,08-02-2011,1,0,2,10,FALSE,2,1,0.22,0.1818,0.47,0.5522,4,44,48
865,08-02-2011,1,0,2,11,FALSE,2,1,0.22,0.1818,0.47,0.4627,1,49,50
866,08-02-2011,1,0,2,12,FALSE,2,1,0.24,0.197,0.38,0.4925,2,63,65
867,08-02-2011,1,0,2,13,FALSE,2,2,0.24,0.197,0.32,0.4478,2,48,50
868,08-02-2011,1,0,2,14,FALSE,2,1,0.22,0.197,0.37,0.4179,3,61,64
869,08-02-2011,1,0,2,15,FALSE,2,1,0.22,0.197,0.35,0.3881,6,45,51
870,08-02-2011,1,0,2,16,FALSE,2,1,0.22,0.1818,0.35,0.5224,4,79,83
871,08-02-2011,1,0,2,17,FALSE,2,1,0.22,0.1818,0.32,0.5821,4,172,176
872,08-02-2011,1,0,2,18,FALSE,2,1,0.2,0.1818,0.32,0.3881,1,151,152
873,08-02-2011,1,0,2,19,FALSE,2,1,0.16,0.1212,0.4,0.4627,1,100,101
874,08-02-2011,1,0,2,20,FALSE,2,1,0.16,0.1364,0.4,0.3284,3,53,56
875,08-02-2011,1,0,2,21,FALSE,2,1,0.14,0.1061,0.33,0.4627,8,46,54
876,08-02-2011,1,0,2,22,FALSE,2,1,0.12,0.1061,0.33,0.3582,0,29,29
877,08-02-2011,1,0,2,23,FALSE,2,1,0.12,0.1061,0.33,0.3284,3,9,12
878,09-02-2011,1,0,2,0,FALSE,3,1,0.1,0.0758,0.36,0.3582,0,17,17
879,09-02-2011,1,0,2,1,FALSE,3,1,0.1,0.1061,0.36,0.2239,0,7,7
880,09-02-2011,1,0,2,2,FALSE,3,1,0.08,0.0758,0.38,0.2836,1,2,3
881,09-02-2011,1,0,2,3,FALSE,3,1,0.06,0.0758,0.45,0.1343,0,2,2
882,09-02-2011,1,0,2,5,FALSE,3,1,0.06,0.1061,0.45,0.1045,0,7,7
883,09-02-2011,1,0,2,6,FALSE,3,1,0.06,0.1515,0.45,0,0,43,43
884,09-02-2011,1,0,2,7,FALSE,3,1,0.06,0.1061,0.49,0.1045,4,95,99
885,09-02-2011,1,0,2,8,FALSE,3,1,0.1,0.1364,0.42,0,1,198,199
886,09-02-2011,1,0,2,9,FALSE,3,1,0.12,0.1364,0.39,0.1642,4,119,123
887,09-02-2011,1,0,2,10,FALSE,3,1,0.14,0.1818,0.36,0,8,51,59
888,09-02-2011,1,0,2,11,FALSE,3,2,0.14,0.1515,0.43,0.1642,1,40,41
889,09-02-2011,1,0,2,12,FALSE,3,2,0.18,0.1818,0.4,0.2239,4,57,61
890,09-02-2011,1,0,2,13,FALSE,3,1,0.18,0.1667,0.4,0.2537,2,67,69
891,09-02-2011,1,0,2,14,FALSE,3,1,0.2,0.1818,0.34,0.2985,2,56,58
892,09-02-2011,1,0,2,15,FALSE,3,2,0.2,0.1818,0.34,0.2836,3,61,64
893,09-02-2011,1,0,2,16,FALSE,3,2,0.2,0.197,0.37,0.2537,7,72,79
894,09-02-2011,1,0,2,17,FALSE,3,2,0.2,0.197,0.34,0.2537,9,157,166
895,09-02-2011,1,0,2,18,FALSE,3,2,0.18,0.1667,0.47,0.2985,2,168,170
896,09-02-2011,1,0,2,19,FALSE,3,3,0.14,0.1212,0.86,0.2537,1,87,88
897,09-02-2011,1,0,2,20,FALSE,3,3,0.14,0.1515,0.86,0.1642,0,84,84
898,09-02-2011,1,0,2,21,FALSE,3,2,0.14,0.1515,0.86,0.1642,0,83,83
899,09-02-2011,1,0,2,22,FALSE,3,3,0.16,0.1667,0.8,0.1642,4,42,46
900,09-02-2011,1,0,2,23,FALSE,3,3,0.16,0.1515,0.8,0.194,0,37,37
901,10-02-2011,1,0,2,0,FALSE,4,3,0.14,0.1364,0.86,0.194,0,16,16
902,10-02-2011,1,0,2,1,FALSE,4,3,0.14,0.1515,0.8,0.1343,0,7,7
903,10-02-2011,1,0,2,2,FALSE,4,3,0.14,0.1515,0.8,0.1343,0,3,3
904,10-02-2011,1,0,2,4,FALSE,4,2,0.14,0.1364,0.59,0.2239,0,1,1
905,10-02-2011,1,0,2,5,FALSE,4,2,0.12,0.1212,0.5,0.2239,0,6,6
906,10-02-2011,1,0,2,6,FALSE,4,2,0.12,0.1212,0.54,0.2836,0,26,26
907,10-02-2011,1,0,2,7,FALSE,4,1,0.1,0.0758,0.5,0.4179,0,99,99
908,10-02-2011,1,0,2,8,FALSE,4,1,0.1,0.0758,0.49,0.3284,5,173,178
909,10-02-2011,1,0,2,9,FALSE,4,1,0.12,0.1061,0.42,0.3582,1,121,122
910,10-02-2011,1,0,2,10,FALSE,4,1,0.12,0.1061,0.42,0.2985,1,34,35
911,10-02-2011,1,0,2,11,FALSE,4,1,0.14,0.1212,0.39,0.3582,1,44,45
912,10-02-2011,1,0,2,12,FALSE,4,1,0.16,0.1364,0.34,0.3881,4,65,69
913,10-02-2011,1,0,2,13,FALSE,4,1,0.18,0.1667,0.29,0.2985,3,59,62
914,10-02-2011,1,0,2,14,FALSE,4,1,0.2,0.1818,0.27,0.2836,6,42,48
915,10-02-2011,1,0,2,15,FALSE,4,1,0.2,0.197,0.25,0.2537,0,50,50
916,10-02-2011,1,0,2,16,FALSE,4,1,0.2,0.1818,0.27,0.2985,4,76,80
917,10-02-2011,1,0,2,17,FALSE,4,1,0.18,0.1818,0.26,0.194,6,159,165
918,10-02-2011,1,0,2,18,FALSE,4,1,0.16,0.1818,0.28,0.1343,3,157,160
919,10-02-2011,1,0,2,19,FALSE,4,1,0.14,0.1667,0.28,0.1045,2,110,112
920,10-02-2011,1,0,2,20,FALSE,4,1,0.14,0.1818,0.31,0.0896,4,93,97
921,10-02-2011,1,0,2,21,FALSE,4,1,0.14,0.2121,0.39,0,2,70,72
922,10-02-2011,1,0,2,22,FALSE,4,1,0.12,0.197,0.39,0,4,47,51
923,10-02-2011,1,0,2,23,FALSE,4,1,0.12,0.1515,0.42,0.1045,1,33,34
924,11-02-2011,1,0,2,0,FALSE,5,1,0.1,0.1364,0.49,0.1045,2,12,14
925,11-02-2011,1,0,2,1,FALSE,5,1,0.1,0.1364,0.54,0.0896,1,6,7
926,11-02-2011,1,0,2,2,FALSE,5,1,0.1,0.1364,0.54,0.0896,0,3,3
927,11-02-2011,1,0,2,5,FALSE,5,1,0.08,0.1212,0.63,0.0896,0,4,4
928,11-02-2011,1,0,2,6,FALSE,5,1,0.1,0.1818,0.68,0,1,23,24
929,11-02-2011,1,0,2,7,FALSE,5,1,0.08,0.1667,0.73,0,1,73,74
930,11-02-2011,1,0,2,8,FALSE,5,1,0.1,0.1212,0.74,0.1642,4,212,216
931,11-02-2011,1,0,2,9,FALSE,5,1,0.12,0.1212,0.74,0.2239,8,132,140
932,11-02-2011,1,0,2,10,FALSE,5,1,0.14,0.1364,0.69,0.194,5,39,44
933,11-02-2011,1,0,2,11,FALSE,5,1,0.22,0.2273,0.47,0.1343,12,52,64
934,11-02-2011,1,0,2,12,FALSE,5,1,0.22,0.2273,0.47,0.1343,7,64,71
935,11-02-2011,1,0,2,13,FALSE,5,1,0.24,0.2273,0.35,0.194,21,89,110
936,11-02-2011,1,0,2,14,FALSE,5,1,0.3,0.2879,0.26,0.2537,17,67,84
937,11-02-2011,1,0,2,15,FALSE,5,1,0.32,0.3182,0.21,0.1642,12,62,74
938,11-02-2011,1,0,2,16,FALSE,5,1,0.3,0.2879,0.28,0.194,14,111,125
939,11-02-2011,1,0,2,17,FALSE,5,1,0.3,0.3333,0.24,0,18,193,211
940,11-02-2011,1,0,2,18,FALSE,5,1,0.28,0.3182,0.28,0,9,165,174
941,11-02-2011,1,0,2,19,FALSE,5,1,0.26,0.303,0.33,0,7,94,101
942,11-02-2011,1,0,2,20,FALSE,5,1,0.22,0.2273,0.55,0.1343,2,61,63
943,11-02-2011,1,0,2,21,FALSE,5,1,0.2,0.2121,0.59,0.1343,1,46,47
944,11-02-2011,1,0,2,22,FALSE,5,1,0.2,0.2273,0.64,0.0896,2,41,43
945,11-02-2011,1,0,2,23,FALSE,5,1,0.18,0.2424,0.69,0,5,48,53
946,12-02-2011,1,0,2,0,FALSE,6,1,0.16,0.197,0.69,0.0896,3,27,30
947,12-02-2011,1,0,2,1,FALSE,6,1,0.14,0.2121,0.86,0,2,22,24
948,12-02-2011,1,0,2,2,FALSE,6,1,0.14,0.2121,0.8,0,2,13,15
949,12-02-2011,1,0,2,3,FALSE,6,1,0.12,0.197,0.8,0,3,7,10
950,12-02-2011,1,0,2,4,FALSE,6,1,0.12,0.1667,0.74,0.0896,0,4,4
951,12-02-2011,1,0,2,5,FALSE,6,1,0.12,0.1667,0.74,0.0896,0,1,1
952,12-02-2011,1,0,2,6,FALSE,6,1,0.12,0.1364,0.93,0.194,1,1,2
953,12-02-2011,1,0,2,7,FALSE,6,1,0.12,0.1515,0.8,0.1045,2,9,11
954,12-02-2011,1,0,2,8,FALSE,6,1,0.14,0.1515,0.86,0.1343,2,28,30
955,12-02-2011,1,0,2,9,FALSE,6,1,0.16,0.1818,0.64,0.1343,5,38,43
956,12-02-2011,1,0,2,10,FALSE,6,1,0.22,0.2121,0.41,0.2537,13,71,84
957,12-02-2011,1,0,2,11,FALSE,6,1,0.3,0.2727,0.28,0.3284,30,84,114
958,12-02-2011,1,0,2,12,FALSE,6,1,0.3,0.2727,0.39,0.4627,27,93,120
959,12-02-2011,1,0,2,13,FALSE,6,1,0.3,0.2727,0.39,0.4179,32,103,135
960,12-02-2011,1,0,2,14,FALSE,6,1,0.34,0.3182,0.31,0.2836,30,90,120
961,12-02-2011,1,0,2,15,FALSE,6,1,0.34,0.303,0.29,0.4179,47,127,174
962,12-02-2011,1,0,2,16,FALSE,6,1,0.34,0.303,0.29,0.4179,42,103,145
963,12-02-2011,1,0,2,17,FALSE,6,1,0.32,0.2879,0.31,0.5224,24,113,137
964,12-02-2011,1,0,2,18,FALSE,6,1,0.28,0.2576,0.38,0.3284,4,60,64
965,12-02-2011,1,0,2,19,FALSE,6,1,0.28,0.2727,0.38,0.1642,2,39,41
966,12-02-2011,1,0,2,20,FALSE,6,1,0.26,0.2576,0.41,0.2239,1,39,40
967,12-02-2011,1,0,2,21,FALSE,6,1,0.26,0.303,0.41,0,9,42,51
968,12-02-2011,1,0,2,22,FALSE,6,1,0.24,0.2576,0.44,0.0896,6,39,45
969,12-02-2011,1,0,2,23,FALSE,6,1,0.22,0.2273,0.51,0.1343,1,31,32
970,13-02-2011,1,0,2,0,FALSE,0,1,0.2,0.2273,0.64,0.1045,5,34,39
971,13-02-2011,1,0,2,1,FALSE,0,1,0.2,0.2273,0.59,0.0896,1,23,24
972,13-02-2011,1,0,2,2,FALSE,0,2,0.2,0.2273,0.75,0.0896,1,19,20
973,13-02-2011,1,0,2,3,FALSE,0,2,0.2,0.2273,0.69,0.1045,4,8,12
974,13-02-2011,1,0,2,4,FALSE,0,2,0.2,0.2121,0.69,0.1642,0,2,2
975,13-02-2011,1,0,2,6,FALSE,0,2,0.2,0.2121,0.69,0.1343,2,3,5
976,13-02-2011,1,0,2,7,FALSE,0,2,0.22,0.2727,0.55,0,0,3,3
977,13-02-2011,1,0,2,8,FALSE,0,2,0.22,0.2273,0.64,0.194,1,11,12
978,13-02-2011,1,0,2,9,FALSE,0,2,0.24,0.2273,0.6,0.2239,12,35,47
979,13-02-2011,1,0,2,10,FALSE,0,1,0.3,0.2727,0.45,0.3284,19,86,105
980,13-02-2011,1,0,2,11,FALSE,0,1,0.32,0.2879,0.39,0.4478,26,86,112
981,13-02-2011,1,0,2,12,FALSE,0,1,0.36,0.3182,0.32,0.4627,58,94,152
982,13-02-2011,1,0,2,13,FALSE,0,1,0.38,0.3939,0.29,0.3582,62,92,154
983,13-02-2011,1,0,2,14,FALSE,0,2,0.4,0.4091,0.3,0.4179,51,110,161
984,13-02-2011,1,0,2,15,FALSE,0,2,0.4,0.4091,0.3,0.2985,40,122,162
985,13-02-2011,1,0,2,16,FALSE,0,2,0.42,0.4242,0.28,0.3284,28,106,134
986,13-02-2011,1,0,2,17,FALSE,0,1,0.42,0.4242,0.28,0.3284,30,95,125
987,13-02-2011,1,0,2,18,FALSE,0,1,0.4,0.4091,0.32,0.2985,17,78,95
988,13-02-2011,1,0,2,19,FALSE,0,1,0.4,0.4091,0.35,0.2836,11,50,61
989,13-02-2011,1,0,2,20,FALSE,0,1,0.4,0.4091,0.35,0.3284,15,32,47
990,13-02-2011,1,0,2,21,FALSE,0,1,0.4,0.4091,0.35,0.3582,6,45,51
991,13-02-2011,1,0,2,22,FALSE,0,1,0.4,0.4091,0.35,0.2985,5,31,36
992,13-02-2011,1,0,2,23,FALSE,0,1,0.4,0.4091,0.35,0.3582,3,27,30
993,14-02-2011,1,0,2,0,FALSE,1,1,0.38,0.3939,0.37,0.3582,3,8,11
994,14-02-2011,1,0,2,1,FALSE,1,1,0.38,0.3939,0.37,0.3582,1,6,7
995,14-02-2011,1,0,2,2,FALSE,1,1,0.36,0.3333,0.4,0.2985,0,2,2
996,14-02-2011,1,0,2,3,FALSE,1,1,0.34,0.3182,0.46,0.2239,1,1,2
997,14-02-2011,1,0,2,4,FALSE,1,1,0.32,0.303,0.53,0.2836,0,2,2
998,14-02-2011,1,0,2,5,FALSE,1,1,0.32,0.303,0.53,0.2836,0,3,3
999,14-02-2011,1,0,2,6,FALSE,1,1,0.34,0.303,0.46,0.2985,1,25,26
1000,14-02-2011,1,0,2,7,FALSE,1,1,0.34,0.303,0.46,0.2985,2,96,98
611,28-01-2011,1,0,1,16,FALSE,5,1,0.22,0.2727,0.8,0,10,70,80
612,28-01-2011,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
613,28-01-2011,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
614,28-01-2011,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
615,28-01-2011,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
616,28-01-2011,1,0,1,21,FALSE,5,2,0.22,0.2273,0.75,0.1343,1,57,58
617,28-01-2011,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3582,0,26,26
618,28-01-2011,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
619,29-01-2011,1,0,1,0,FALSE,6,1,0.22,0.197,0.64,0.3582,2,26,28
